domain,ranking,mld_res,mld.ps_res,card_rem,ratio_Rrem,ratio_Arem,jaccard_RR,jaccard_RA,jaccard_AR,jaccard_AA,jaccard_ARrd,jaccard_ARrem,label
nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,10000000,1,0,18,107.611111,107.277778,0,0,0,0,0.8,0.795729,1
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,10000000,0,0,4,160.5,157.25,0,0,0,0,0,0.777622,1
super1000.info/docs,10000000,0,0,1,21,13,0,0,0,0,0,0.36,1
"smilesvoegol.servebbs.org/voegol.php",10000000,0.0,0.0,2,223.5,234,0,0,0,0,0,0.852227,1.0
"premierpaymentprocessing.com/includes/boleto-2via-07-2012.php",10000000,0.0,0.0,4,119,121.5,0,0,0,0,0,0.853565,1.0
"myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php",10000000,0.0,0.0,4,160.5,157.25,0,0,0,0,0,0.777622,1.0
"super1000.info/docs",10000000,0.0,0.0,1,21,13,0,0,0,0,0,0.36,1.0
"horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b",10000000,0.0,0.0,16,142.375,142.5,0,0,0,0,0,0.803006,1.0
"phlebolog.com.ua/libraries/joomla/results.php",10000000,0.0,0.0,4,183.25,196.5,0,0,0,0,0,0.843447,1.0
"docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ",1,1.0,1.0,6,71.166667,78.666667,0.028235,0.032239,0.027365,0.031432,0.886969,0.696226,1.0
"www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx",10000000,0.0,0.0,5,22.6,19,0,0,0,0,0,0.733333,1.0
"www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php",10000000,0.0,0.0,5,120,124.6,0,0,0,0,0,0.833583,1.0
"perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/",10000000,0.0,0.0,6,50.333333,45,0,0,0,0,0,0.707463,1.0
"lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1",10000000,0.0,0.0,5,162.2,165.6,0,0,0,0,0,0.843645,1.0
"anonymeidentity.net/remax./remax.htm",10000000,0.0,0.0,2,34,18.5,0,0,0,0,0,0.381579,1.0
"dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html",10000000,0.0,0.0,6,72.5,70.166667,0,0,0,0,0,0.798319,1.0
"www.avedeoiro.com/site/plugins/chase/",10000000,0.0,0.0,3,94.333333,81,0,0,0,0,0,0.64375,1.0
"asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/",10000000,0.0,0.0,7,147.857143,150.571429,0,0,0,0,0,0.703915,1.0
"www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/",10000000,0.0,0.0,6,141.166667,140.833333,0,0,0,0,0,0.790476,1.0
"optimistic-pessimism.com/aoluserupdatealert.info.htm",10000000,0.0,0.0,6,64.333333,51.666667,0,0,0,0,0,0.611111,1.0
"mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/",10000000,0.0,0.0,4,50,43,0,0,0,0,0,0.61039,1.0
"www.everythinggoingon.net/~gpeveryt/home/Email/",10000000,0.0,0.0,3,429,431.333333,0,0,0,0,0,0.798606,1.0
"mercadolivre.com.br.premiosfidelidade2012.com.br/",10000000,0.0,0.0,3,63.666667,54.666667,0,0,0,0,0,0.591928,1.0
"www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/",10000000,0.0,0.0,10,138.3,143.9,0,0,0,0,0,0.744129,1.0
"jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php",10000000,0.0,0.0,7,189.142857,196.428571,0,0,0,0,0,0.812626,1.0
"xini.eu/00Qe",10000000,1.0,0.0,0,0,0,0,0,0,0,0.25,0,1.0